Title,Date Published,Author(s),URL,300-word Summary
Defense Primer: U.S. Strategic Command (STRATCOM),9/8/25,Anya L. Fink; Robert Switzer,www.congress.gov/crs-report/IF12981,"U.S. Strategic Command (USSTRATCOM or STRATCOM) is a Department of Defense (DOD) functional (as opposed to geographic) combatant command (CCMD) responsible for deterring “strategic attack through a safe, secure, effective, and credible, global combat capability” and “when directed, is ready to prevail in conflict.” DOD’s 2024 Report on the Nuclear Employment Strategy of the United States defined “strategic attack” as any nuclear attack or a “significant, high-consequence non-nuclear attack” with “strategic-level effect.” In various parts of the DOD budget, Congress authorizes and appropriates funding for personnel, operations, and capabilities provided by the military services for STRATCOM to execute its mission. Such capabilities include the U.S. nuclear triad, which consists of intercontinental ballistic missiles (ICBMs), submarine-launched ballistic missiles (SLBMs) on ballistic missile submarines (SSBNs), and bomber aircraft capable of delivering nuclear weapons. The Senate has confirmed individuals appointed to the grade of general or admiral and assigned to the position of STRATCOM commander under 10 U.S.C. §601. On September 5, 2025, DOD announced the nomination of Navy Vice Admiral Richard Correll to serve as STRATCOM Commander. Background STRATCOM history dates back to the U.S. Air Force’s Strategic Air Command (SAC), created in 1946. SAC was responsible for managing two of three legs of the nuclear triad—bombers and ICBMs—while the U.S. Navy was responsible for managing SSBNs. In the 1950s, the Navy began the deployment of Polaris SLBMs, prompting Navy and Air Force leaders to create a Joint Strategic Target Planning Staff (JSTPS). In 1961, the JSTPS produced the Single Integrated Operational Plan (SIOP), a master plan that integrated the services’ plans and capabilities against a target set. STRATCOM was originally created in 1992 when SAC was deactivated after the end of the Cold War. As part of this new arrangement that emphasized jointness and centralized command and control over U.S. strategic..."
The Islamic State and Its Affiliates,9/8/25,Clayton Thomas,www.congress.gov/crs-report/IF10328,"The Islamic State (IS, also known as ISIS, ISIL, or Da’esh) is a transnational Sunni Islamist insurgent and terrorist group. At its 2015 height, the group controlled large areas of Iraq and Syria from which it launched and inspired attacks in the region and beyond. While the group no longer controls territory in Syria and Iraq, U.S. military officials warn that it continues to operate there. Greater threats to U.S. interests appear to come from IS affiliates (in Africa, the Middle East, and Asia), which may have stronger military capabilities and claims to global leadership of the group. The 2025 Annual Threat Assessment (ATA) of the U.S. Intelligence Community noted that while the Islamic State “has suffered major setbacks,” it “remains the world’s largest Islamic terrorist organization, has sought to gain momentum from high-profile attacks, and continues to rely on its most capable branches and globally dispersed leadership to weather degradation.” Congress has authorized, funded, and overseen the use of various U.S. policy tools to counter the Islamic State, including military and economic actions. Origins and Leadership The Islamic State grew out of the Islamic State of Iraq (ISI), made up of former Al Qaeda (AQ) elements. Some ISI members traveled to Syria in 2011 to establish a new AQ affiliate, the Nusra Front. In 2013, then-ISI leader Abu Bakr al Baghdadi announced that ISI and the Nusra Front had merged to form the Islamic State of Iraq and Al Sham (ISIS/ISIL). AQ leaders rejected Baghdadi’s move to subsume the Nusra Front under his leadership and severed ties with ISIS in 2014. Baghdadi later declared a “caliphate” and renamed his group the Islamic State. After years of operations by a U.S.-led military coalition and Iraqi and Syria partner force, the U.S.-backed Syrian Democratic Forces (SDF) captured the last IS-held outpost..."
Federal Crop Insurance: Specialty Crops,1/14/19,Stephanie Rosch; Zachary T. Neuhofer; Renée Johnson,www.congress.gov/crs-report/R45459,"The federal crop insurance program offers subsidized crop insurance policies to farmers. Farmers can purchase policies that pay indemnities when their yields or revenues fall below guaranteed levels. While the majority of federal crop insurance policies cover yield or revenue losses, the program also offers policies with other types of guarantees, such as index policies that trigger an indemnity payment based on weather conditions. The Federal Crop Insurance Corporation (FCIC), a government corporation within the U.S. Department of Agriculture (USDA), pays part of the premium—about 63%, on average—across the federal crop insurance portfolio during crop year 2017, while policy holders—farmers and ranchers—pay the balance. Private insurance companies, known as Approved Insurance Providers (AIPs), deliver the policies in return for administrative and operating subsidies from FCIC. AIPs also share underwriting risk with FCIC through a mutually negotiated Standard Reinsurance Agreement. The USDA Risk Management Agency (RMA) administers the federal crop insurance program. The federal crop insurance program primarily covers traditional field crops (such as wheat, corn, and soybeans) that are supported by USDA’s revenue-support programs. Unlike these traditional crops, specialty crops—defined in statute as “fruits and vegetables, tree nuts, dried fruits, and horticulture and nursery crops (including floriculture)” (7 U.S.C. §1621 note)—have not been a major part of federal crop insurance support. Specialty crops are also generally not eligible for USDA’s revenue-support programs. USDA estimates that the statutory definition of specialty crops covers more than 300 agricultural commodities, including fresh and processed fruits and vegetables, tree nuts, nursery plants (trees, shrubs, and flowering plants), herbs, spices, coffee, tea, honey, and maple syrup. Legislative changes, coupled with ongoing administrative efforts by USDA, have expanded federal crop insurance coverage for specialty crops, and they now account for a small but growing number of federal crop insurance policies bought by farmers. Among the issues..."
Venezuela: Background and U.S. Relations,12/6/22,Clare Ribando Seelke; Rebecca M. Nelson; Phillip Brown; Rhoda Margesson,www.congress.gov/crs-report/R44841,"Venezuela remains in a deep economic and humanitarian crisis under the authoritarian rule of Nicolás Maduro, who has consolidated power since his reelection in a 2018 presidential vote widely deemed fraudulent. Maduro, narrowly elected in 2013 after the death of Hugo Chávez (president, 1999-2013), and the United Socialist Party of Venezuela (PSUV) took de facto control of the National Assembly, the last independent branch of government, in January 2021. From 2019 through 2021, Maduro resisted U.S. and international pressure to cede power and allow a transition government led by Juan Guaidó, the National Assembly president elected in 2015 and once regarded as interim president by nearly 60 countries, to convene elections. Opposition parties, organized under a Unitary Platform since 2021 that includes Guaidó’s party as one of many, resumed negotiations with Maduro officials in November 2022 to create better conditions for presidential elections due in 2024. Despite a nascent economy recovery, Venezuela’s economy contracted by roughly 75% from 2014 through 2021, exhibiting among the world’s highest rates of hyperinflation, according to the International Monetary Fund (IMF). While hyperinflation may have technically abated, food insecurity and a collapse of health and other social services have left 7 million people in need of humanitarian assistance and led another 7.1 million Venezuelans to flee the country as of November 2022, according to U.N. agencies. U.S. Policy The U.S. government ceased recognizing Maduro as Venezuela’s legitimate president in January 2019, and the Trump Administration sought to compel him to leave office through diplomatic, economic, and legal pressure. The Biden Administration initially maintained a similar policy, although U.S. officials held direct talks with Maduro in March and June 2022 that led to a policy shift. In November 2022, the Biden Administration issued a license to allow Chevron to resume some operations in Venezuela after the..."
Public Broadcasting: Background Information and Issues for Congress,9/8/25,Brian E. Humphreys,www.congress.gov/crs-report/R48545,"Discussion of public interest in educational or noncommercial programming dates to the early days of broadcasting. In 1938, the Federal Communications Commission (FCC) set aside a portion of available radio channels for noncommercial and educational broadcasting, periodically updating policy as technology evolved. In 1965, the Carnegie Corporation of New York created the Carnegie Commission on Public Television to make policy recommendations on public broadcasting. It recommended that Congress create a private, nonprofit corporation to support the development of local and national programming for public television (and later radio). This was enacted as part of the Public Broadcasting Act of 1967 (PBA; P.L. 90-129). The Corporation for Public Broadcasting (CPB) was subsequently incorporated in 1967 as a private nonprofit corporation governed by a board of directors appointed by the President with the advice and consent of the Senate. The CPB was funded by federal appropriations from its founding until it was defunded by Congress in July 2025. Appropriations to the CPB remain under the jurisdiction of the Labor, Health and Human Services, Education, and Related Agencies Subcommittees of the House and Senate Appropriations Committees should Congress decide to fund the CPB in the future. Beginning in 1975, Congress provided two-year advance appropriations to the CPB to facilitate long-term programming decisions outside the pressures of the one-year budget cycle. For example, the FY2027 advance appropriation for the CPB of $535 million was made under the Full-Year Continuing Appropriations and Extensions Act, 2025 (P.L. 119-4). Advance appropriations for FY2026 and FY2027 were rescinded on July 24, 2025, by the Rescissions Act of 2025 (P.L. 119-28). In addition to funds appropriated to it directly by Congress, the CPB may receive federal grant funds from other agencies for educational programming, support of public broadcasting emergency alerting functions, and other purposes. On August 1, 2025, the..."
Glacial Lake Outburst Floods: Mendenhall Glacier Case Study and Issues for Congress,9/5/25,Anna E. Normand; Caitlin Keating-Bitonti,www.congress.gov/crs-report/IN12606,"On August, 13, 2025, a U.S. Geological Survey (USGS) streamgage on the Mendenhall River north of Juneau, AK, passed its 2024 record level of 15.99 feet, cresting at 16.65 feet. The river’s rise was due to a sudden release of glacial water—known as a glacial lake outburst flood (GLOF)—from Suicide Basin. Following advance notifications and warnings from the National Oceanic and Atmospheric Administration’s (NOAA’s) National Weather Service (NWS), the City and Borough of Juneau (CBJ) urged residents to evacuate potential flood inundation areas. Ultimately, most of the flooding was mitigated by temporary flood barriers installed by the U.S. Army Corps of Engineers (USACE) earlier in 2025. The first reported GLOF at Suicide Basin occurred in 2011, and experts anticipate these GLOFs may recur annually while Mendenhall Glacier is present. Although GLOFs may not occur as frequently as weather-event flooding, GLOFs also can threaten life and property. A 2024 GLOF damaged over 300 Juneau homes (Figure 1) and was declared a major disaster. As such, Congress may be interested in federal efforts toward addressing GLOF risk and may consider the federal role in mitigating future impacts. Figure 1. August 2024 Glacial Lake Outburst Flood (GLOF) Inundation in Juneau, AK / Source: Alaska National Guard, “Alaska Guard Assists Juneau Following Glacial Flooding.” Mendenhall GLOFs GLOFs typically occur when a glacial lake’s dam—which may be dammed by ice or glacial sediment deposit—suddenly fails. Continuing climate warming may accelerate ice-dam thinning and generate GLOFs. GLOFs associated with ice-dammed lakes tend to occur in the summer or early autumn, when the water level in a glacial lake reaches a critical threshold (see Figure 2). GLOFs also may be triggered by the displacement of the lake’s water from mass wasting of unstable slopes (e.g., avalanche, landslide), causing the water to overtop the dam. Figure 2. Mechanism..."
China Primer: The People’s Liberation Army (PLA),9/4/25,Caitlin Campbell,www.congress.gov/crs-report/IF11719,"Overview The People’s Liberation Army (PLA) serves the Communist Party of China (CPC), the ruling party of the People’s Republic of China (PRC or China). The PLA was established in 1927 during the rise of the CPC and China’s civil war, and predates the founding of the PRC in 1949. Since 2021, the U.S. Department of Defense (DOD) has referred to China as the “pacing challenge” for the U.S. military. For a quarter-century, Congress has formally monitored the PLA’s modernization and conducted oversight of U.S.-China military exchanges. As policymakers across the U.S. government have prioritized “great power competition” with China, Congress has authorized programs and appropriated funds with the goal of competing militarily with the PRC. PLA Organization The PLA encompasses four services (the Army, Navy, Air Force, and Rocket Force) and four service arms (the Aerospace Force, Cyberspace Force, Information Support Force, and Joint Logistics Support Force). The CPC oversees these forces through its Central Military Commission, which serves some functions similar to those of the U.S. Joint Chiefs of Staff. The Central Military Commission also oversees a paramilitary force, the People’s Armed Police (which includes the China Coast Guard), and China’s militia forces. Xi Jinping, CPC general secretary and PRC president, also chairs the Commission. In 2015, Xi launched the most ambitious reform and reorganization of the PLA since the 1950s. This overhaul appears to have two overarching objectives: (1) reshaping and improving the PLA’s structure to enable joint operations among the services; and (2) eliminating corruption and ensuring PLA loyalty to the Party and Xi. A decade later, Xi’s effort to reshape the PLA remains a work in progress. He has purged dozens of PLA leaders (particularly since 2023) and has continued to make changes to the PLA’s command structure. Opacity surrounding personnel changes has led some..."
Temporary Protected Status and Deferred Enforced Departure,8/28/25,Jill H. Wilson,www.congress.gov/crs-report/RS20844,"When civil unrest, violence, or natural disasters erupt in countries around the world, concerns arise over the ability of foreign nationals present in the United States who are from those countries to safely return. Congress created temporary protected status (TPS) in 1990 to provide protection from removal to such individuals—regardless of their immigration status. The Secretary of the Department of Homeland Security (DHS) has the discretion to designate a country for TPS for periods of 6 to 18 months and can extend these periods if the country continues to meet the conditions for designation. A foreign national from a designated country who is granted TPS receives a registration document and employment authorization for the duration of the TPS designation. In addition to TPS, there is another form of blanket relief from removal known as deferred enforced departure (DED). DED is a temporary, discretionary, administrative stay of removal granted to foreign nationals from designated countries. Unlike TPS, a DED designation emanates from the President’s constitutional powers to conduct foreign relations and has no statutory basis. As of March 31, 2025, 17 countries were covered by TPS designations: Afghanistan, Burma, Cameroon, El Salvador, Ethiopia, Haiti, Honduras, Lebanon, Nepal, Nicaragua, Somalia, South Sudan, Sudan, Syria, Ukraine, Venezuela, and Yemen. The second Trump Administration has announced terminations of TPS designations for several of these countries, and some terminations are subject to ongoing litigation. As of March 31, 2025, approximately 1,297,635 foreign nationals in the United States from these countries were protected from removal by TPS. In addition, certain, Lebanese, Liberians, and residents of Hong Kong living in the United States currently maintain relief under DED. A DED grant for certain Palestinians expired on August 13, 2025. Over the past decade, there has been debate about whether foreign nationals who have been living in the..."
"Second Trump Administration Releases First Unified Agenda, Listing Upcoming Regulations",9/4/25,Maeve P. Carey,www.congress.gov/crs-report/IN12605,"On September 4, 2025, the second Trump Administration released the Spring 2025 Unified Agenda of Regulatory and Deregulatory Actions. The Unified Agenda, which is published twice a year, is a government-wide publication of rulemaking actions agencies are currently working on and expect to take in the coming months. The Unified Agenda contains both regulatory actions (i.e., new regulations) and deregulatory actions (i.e., reductions in or elimination of current regulations). It also includes regulations that have been withdrawn since the most recent edition of the Unified Agenda—e.g., rules that the Biden Administration had been working on in late 2024, but the second Trump Administration no longer appears to be pursuing. The Unified Agenda is compiled by the Regulatory Information Service Center (RISC) in coordination with the Office of Information and Regulatory Affairs (OIRA). OIRA is the entity within the Office of Management and Budget (OMB) that reviews federal agencies’ regulations prior to when they are issued. OIRA is also responsible for implementing any broad regulatory reform agenda of the current President, such as President Trump’s one-in, ten-out policy for regulations established in Executive Order 14192 (see memorandum M-25-20 for OIRA’s guidance implementing that order). Contents of the Unified Agenda The Unified Agenda lists regulatory activities, by agency, in three categories: “active” actions, including rules in the prerule stage (e.g., advance notices of proposed rulemaking that are expected to be issued in the next 12 months, or actions that include a review of current regulations); proposed rule stage (i.e., notices of proposed rulemaking that are expected to be issued in the next 12 months, or for which the closing date of the comment period is the next step); and final rule stage (i.e., final rules, interim final rules, or other final actions that are expected to be issued in the next 12..."
U.S.-Canada Trade Relations,9/4/25,Kyla H. Kitamura,www.congress.gov/crs-report/IF12595,"The United States and Canada have had one of the largest bilateral trade relationships in the world, including highly integrated energy and automotive markets. Since 1989, U.S.-Canada trade has been governed by the U.S.-Canada Free Trade Agreement, then by the 1994 North American Free Trade Agreement (NAFTA), and now by the 2020 United States-Mexico-Canada Agreement (USMCA). The United States and Canada are engaged in bilateral trade talks related to U.S. tariffs on Canadian goods and Canadian retaliatory tariffs. The two countries, along with Mexico, also are scheduled to engage in a review of USMCA in July 2026. Congress may consider whether to exercise its legislative prerogatives related to the U.S.-Canada economic relationship, such as evaluating the potential benefits and costs of tariffs as well as U.S. economic integration with Canada, and engaging with the USMCA joint review process. U.S.-Canada Trade Overview According to U.S. Census Bureau data, Canada was the third-largest source of U.S. goods imports in 2024 ($412 billion) and the top destination for U.S. goods exports ($350 billion). When taking into account both goods and services trade, Canada was the second-largest U.S. trade partner in 2024 (see Figure 1). Figure 1. Top U.S. Trade Partners (2024) / Source: CRS, with data from the U.S. Bureau of Economic Analysis, June 2025. According to Statistics Canada data for 2024, Canada exported 76% of its goods to, and imported half of its goods from, the United States. According to the U.S. Bureau of Economic Analysis and Statistics Canada, as of 2024, the United States was the largest source of foreign direct investment (FDI) by stock in Canada ($459.6 billion), and Canada was the second-largest source of U.S. FDI ($732.9 billion). Canada has become the largest supplier of U.S. energy imports—including crude oil, natural gas, and electricity. Canada’s share of U.S. crude..."
Free Exercise of Religion at School: The Supreme Court’s Mahmoud v. Taylor Ruling,9/5/25,Whitney K. Novak,www.congress.gov/crs-report/LSB11360,"On June 27, 2025, the Supreme Court issued its opinion in Mahmoud v. Taylor, a case addressing the application of the First Amendment’s Free Exercise Clause in public schools. In Mahmoud, parents challenged school curriculum that involved “LGBTQ+-inclusive” books—and a policy disallowing opt-outs from that curriculum—which they argued violated their right to raise their children in accordance with their religious beliefs. In its decision, the Court held that the school must allow opt-outs from the LGBTQ+-inclusive books. The Court concluded that a government action that substantially interferes with the religious development of a child or poses “a very real threat of undermining” the religious beliefs a parent wishes to instill in his or her child should be reviewed under a heightened constitutional standard—strict scrutiny—regardless of whether the action is neutral and generally applicable. The Court viewed the case as falling within an exception to its general rule in Free Exercise Clause cases, that the government may incidentally burden religious exercise so long as its action is neutral and generally applicable with respect to religion. This Legal Sidebar explains the decision and discusses some implications it may have for Free Exercise jurisprudence, as well as potential impacts on public education. First Amendment: Background The Free Exercise Clause of the First Amendment forbids the government from “prohibiting the free exercise” of religion. The Supreme Court has explained that the Free Exercise Clause “protects not only the right to harbor religious beliefs inwardly and secretly” but also the ability to live out one’s faith through “the performance of (or abstention from) physical acts.” According to the Court, government action implicates the Free Exercise Clause when it penalizes religious practice or coerces someone—either directly or indirectly—into acting contrary to their religious beliefs. The Free Exercise Clause also protects religious observers against “unequal treatment,” such..."
Introduction to U.S. Economy: Personal Income,2/27/25,Lida R. Weinstock,www.congress.gov/crs-report/IF10501,"What Is Income? Income is a measure of resources accruing to an individual over a period of time. In general, individuals receive income from their labor, assets, and government transfers. In its broadest terms, income is a measure of the maximum amount of goods and services an individual can consume in a given period without diminishing their net worth (the difference between their assets and liabilities) at the end of the period. Income is measured over a period of time. In contrast, net worth is measured at a given point in time. Measures of Income There are two prominent sources of data on personal income in the United States: the Bureau of Economic Analysis (BEA) and the Census Bureau. Although both agencies attempt to measure personal income, their definitions of income and how they collect data differ significantly. The BEA has a broader measure of income that includes both money income (e.g., wages and salary) and nonmoney income (e.g., employer-sponsored health care, housing, and meals). BEA data are generally reported at the aggregate level (e.g., economy-wide, states, regions) but also offer limited information at the individual level. Additionally, BEA collects income figures from both federal agency administrative data and surveys. BEA also provides income data both before and after tax remittances. In contrast, the Census Bureau’s measure of income includes only money income. The Census collects income data through surveys at the household level but also reports the data at the individual and family level because of the recognition that individuals within a household or family generally share resources and make economic decisions together. A household generally includes all individuals that live at the same address, while a family includes all individuals living at the same address who are related to each other by birth, marriage, or adoption. The Census..."
Transportation Security: Background and Issues for the 119th Congress,5/23/25,Bart Elias; John Frittelli; Ben Goldman; Chris Jaikaran; Jennifer J. Marshall; Paul W. Parfomak,www.congress.gov/crs-report/R48543,"The nation’s aviation, mass transit, passenger and freight rail, maritime, and pipeline transportation systems are geographically dispersed and designed for accessibility and efficiency. These characteristics make them vulnerable to attack. While securing the transportation sector is difficult, measures can be taken to deter attackers. A key challenge facing Congress is how to implement and finance a system of deterrence, protection, and response that effectively reduces the likelihood and mitigates the consequences of attacks without interfering with travel, commerce, and civil liberties. Transportation security has been a major policy focus since the terrorist attacks of September 11, 2001. In the aftermath of those attacks, Congress passed the Aviation and Transportation Security Act (ATSA; P.L. 107-71). ATSA established the Transportation Security Administration (TSA), mandated federal screening of airline passengers and their baggage, and ordered the deployment of air marshals on all high-risk commercial passenger flights. Congress has since passed legislation intended to further enhance transportation security measures. The FAA Extension, Safety, and Security Act of 2016 (P.L. 114-190) and the TSA Modernization Act (P.L. 115-254, Division K) included provisions intended to improve screening technologies, streamline passenger screening, mandate more rigorous background checks of airport workers, strengthen airport access controls, increase passenger checkpoint efficiency, and enhance security in public areas of airports and at foreign airports where flights depart for the United States. Numerous challenges remain regarding aviation and transportation security, including developing and deploying capabilities, including the potential use of biometrics, to verify the identities of transportation workers and travelers; developing risk-based approaches to vetting and screening transportation workers who access secured areas of airports and other sensitive areas of transportation networks; developing cost-effective solutions to screen air cargo and freight without impeding the flow of commerce; and improving coordination among state, local, and federal homeland security and law enforcement personnel to..."
The Retirement Savings Contribution Credit and the Saver’s Match,9/4/25,Brendan McDermott,www.congress.gov/crs-report/IF11159,"The Retirement Savings Contribution Credit (Internal Revenue Code [IRC] §25B)—commonly referred to as the Saver’s Credit—is a tax expenditure meant to encourage low- and moderate-income taxpayers to save for retirement. The SECURE 2.0 Act of 2022 (“SECURE 2.0”; Division T of P.L. 117-328) created a Saver’s Match, scheduled to largely replace the Saver’s Credit beginning in 2027. This In Focus describes these two subsidies for saving and their effects (actual or potential) on saving. The Saver’s Credit Eligible taxpayers can claim a nonrefundable tax credit for contributions to certain retirement accounts. The Economic Growth and Tax Relief Reconciliation Act of 2001 (EGTRRA; P.L. 107-16) created the Saver’s Credit. The credit took effect in 2002 and was scheduled to expire after 2006, but the Pension Protection Act of 2006 (P.L. 109-290) made it permanent. To claim the tax credit, the saver must (1) be at least 18 years old; (2) not be claimed as a dependent on someone else’s tax return; (3) not be a full-time student; and (4) fall under specified income thresholds. The maximum credit amount is $1,000 per person (up to $2,000 per married couple filing jointly). Taxpayers calculate the credit by multiplying their qualified retirement account contributions (up to a limit) by a credit rate (which declines as income rises). The credit is nonrefundable, meaning the credit cannot exceed income tax liability. Since low-income taxpayers typically owe little to no income tax, nonrefundable credits like the Saver’s Credit may have little to no effect on their tax liability. Retirement account contributions of up to $2,000 per person qualify for the credit. Eligible contributions include those to traditional and Roth Individual Retirement Accounts (IRAs) and defined contribution (DC) retirement plans, such as 401(k) plans. P.L. 115-97 let taxpayers claim the Saver’s Credit for contributions to their own Achieving..."
The Cruel and Unusual Punishments Clause’s Substantive Limits on Criminal Laws,9/4/25,Dave S. Sidhu,www.congress.gov/crs-report/R48692,"Criminal law marks a boundary between conduct that society deems permissible and behavior that it deems worthy of punishment. Courts have expressed that those who cross the line may be subject to penalty and social disapproval. In addition to fines and imprisonment, transgressors may face wide-ranging collateral consequences. The authority of the government to impose criminal punishment is not unlimited. The Eighth Amendment to the U.S. Constitution serves as one restraint on that authority. As relevant here, the Eighth Amendment forbids the government from subjecting individuals to “cruel and unusual punishments.” This prohibition applies on its own terms to federal criminal laws and, by operation of the Fourteenth Amendment, also applies to states and their political subdivisions. Enacted in 1791, the “Cruel and Unusual Punishments” Clause operates to bar the imposition of some forms of punishments for particular offenses (e.g., death for non-murder offenses or treason) or classes of offenders (e.g., death for the intellectually disabled or juveniles). In the 1960s, the Supreme Court issued twin decisions—in Robinson v. California, 370 U.S. 660 (1962) and Powell v. Texas, 392 U.S. 514 (1968)—that also articulated a substantive component to the Cruel and Unusual Punishments Clause, limiting not only what punishments may follow a criminal conviction but also what a government may criminalize to begin with. Robinson and Powell addressed whether imposing criminal punishment on individuals with an addiction to alcohol or narcotics violated the Cruel and Unusual Punishments Clause. These cases gave rise to confusion in the lower courts as to whether, among other things, the Clause created a status-conduct distinction, meaning the Clause outlaws only the punishment of an individual’s status (e.g., “being an addict”) but is not offended if a government punishes some identifiable conduct (e.g., “being intoxicated in public”). It was not until 2024, in City of Grants..."
National Oceanic and Atmospheric Administration (NOAA) FY2026 Budget Request and Appropriations,9/5/25,Caitlin Keating-Bitonti; Eva Lipiec,www.congress.gov/crs-report/IF13024,"The National Oceanic and Atmospheric Administration (NOAA) is an agency in the Department of Commerce. NOAA’s mission, as defined by the agency, is to understand and predict changes in climate, weather, oceans, and coasts; to share that information; and to conserve and manage coastal and marine ecosystems and resources. In March 2025, Congress passed and the President signed into law a full-year continuing resolution of discretionary appropriations for NOAA for the remainder of FY2025 (P.L. 119-4). For FY2026, the Administration is requesting a decrease in funding for NOAA broadly, with proposals to eliminate funding for climate-related offices and programs, among other changes. NOAA’s work is divided among six line offices: National Environmental Satellite, Data, and Information Service (NESDIS); National Marine Fisheries Service (NMFS); National Ocean Service (NOS); National Weather Service (NWS); Office of Oceanic and Atmospheric Research (OAR); and Office of Marine and Aviation Operations (OMAO). NOAA’s Mission Support provides planning, leadership, finances, information technology, educational programming, and other support across the line offices. Congress typically provides NOAA with annual mandatory and discretionary appropriations. Mandatory appropriations, which generally comprise a small percentage of total NOAA funding, are disbursed to various accounts that support programs in NOS, NMFS, and OMAO. NOAA’s discretionary appropriations typically are included in annual Commerce, Justice, Science, and Related Agencies (CJS) appropriations laws. Discretionary appropriations support two broad accounts—Operations, Research, and Facilities (ORF) and Procurement, Acquisition, and Construction (PAC)—and a few smaller accounts. Annual appropriations are one part of the agency’s discretionary direct obligations or funding level, which also include transfers and recoveries from prior year obligations. For more about NOAA’s budget structure, see CRS Report R48157, National Oceanic and Atmospheric Administration (NOAA) Budget and Funding: Overview and Issues for Congress. Agency Funding NOAA has requested between $4.7 billion and $7.2 billion in nominal dollars per year..."
"Unemployment Compensation, Labor Disputes, and Strikes",4/11/24,Julie M. Whittaker; Katelin P. Isaacs,www.congress.gov/crs-report/IF12633,"Introduction Labor disputes among workers and employers may involve temporary work stoppages. Strikes occur when workers initiate the work stoppage. Lockouts happen when employers refuse to allow employees to work. For 2023, the U.S. Bureau of Labor Statistics (BLS) reported that a total of 33 major work stoppages involving 1,000 or more workers began, impacting approximately 458,900 workers. This is the largest number of major work stoppages since 2000 (when there were 39). Because of the complexity of most labor disputes, BLS’ estimates do not distinguish between strikes and lockouts in its work stoppage statistics. Workers involved in a strike or lockout may or may not be members of a union. In the case of strikes or lockouts involving union members, unions may provide their members with payments in the form of strike assistance if they have the financial resources to do so. Additionally, there has been state and federal legislation introduced to provide striking workers with income replacement through the Unemployment Compensation (UC) program. This In Focus discusses the role of UC in labor disputes and strikes, including current UC eligibility and disqualification related to labor disputes as well as examples of recent state and federal legislation to expand UC access in labor dispute situations. It also summarizes the role of union strike assistance. Unemployment Compensation The joint federal-state UC program provides income support through UC benefit payments. The UC program is financed through employer taxes imposed by the Federal Unemployment Tax Act (FUTA) and state payroll taxes required under each state’s State Unemployment Tax Act (SUTA). Although there are broad requirements under federal law regarding UC benefits and financing, state specifics are set out under each state’s laws. States administer UC benefits with U.S. Department of Labor (DOL) oversight, resulting in 53 different UC programs operated in the..."
Centro de Trabajadores Unidos v. Bessent: D.C. Circuit Considers IRS-ICE Information-Sharing Agreement,9/4/25,Justin C. Chung,www.congress.gov/crs-report/LSB11359,"On April 7, 2025, the Internal Revenue Service (IRS) and Immigration and Customs Enforcement (ICE) entered into a Memorandum of Understanding (MOU or information-sharing agreement) to establish procedures between the two agencies to share information for the enforcement of criminal immigration laws. Four organizations that serve immigrants (plaintiffs) have filed a lawsuit (Centro de Trabajadores Unidos v. Bessent) against the government and asked the court to stop the information sharing, alleging that the agreement violates the statutorily provided confidentiality of federal tax returns and return information. The U.S. District Court for the District of Columbia denied the plaintiffs’ request for a preliminary injunction, finding in part that the government is likely to succeed on its argument that the MOU comports with an exception to such confidentiality for disclosures for nontax criminal investigations and proceedings. The plaintiffs have appealed the denial of the preliminary injunction to the U.S. Court of Appeals for the D.C. Circuit. Oral argument is scheduled for October 3. This Legal Sidebar discusses the confidentiality of federal tax returns and return information and the exception to such confidentiality at issue in the case. It gives background on the IRS-ICE MOU and what the MOU requires from each agency. It then summarizes the parties’ arguments before the appeals court. Finally, it presents considerations for Congress. Although this Sidebar does not address a separate lawsuit filed by a taxpayer rights group over the Department of Government Efficiency’s access to IRS data, many of the arguments raised by the taxpayer rights group in a motion in that case against the MOU are similar to the plaintiffs’ arguments in Centro de Trabajadores Unidos. Confidentiality of Federal Tax Returns and Return Information Section 6103 of the Internal Revenue Code (I.R.C.) establishes that federal tax returns and return information are confidential by default unless..."
United States National Symbols: Congressional Designation and Past Practices,9/4/25,Jacob R. Straus,www.congress.gov/crs-report/IF13097,"As codified in Title 36 of the U.S. Code, Congress has designated a national anthem (“The Star-Spangled Banner”), a national motto (“In God we trust”), a national floral emblem (the rose), a national march (“The Stars and Stripes Forever”), a national tree (oak), a national mammal (North American bison), and a national bird (bald eagle). These recognitions can be referred to as “National Symbols,” even though the term does not appear to have a specific statutory definition. [T]he bald eagle has long been associated with and a symbol of the United States. It was first adopted in the Great Seal of the United States in 1782. Versions of the Great Seal are used in the Seal of the President of the United States, the House of Representatives, the Senate, and by countless Federal agencies and departments. The bald eagle appears on the flags and insignia of our military, on our passports, and on our currency. It appears on the flags and the seals of several States as well. The bald eagle is also important to Native American Tribes across the United States. It plays a key role in sacred belief systems and traditions, stories, ceremonies, and insignias. Despite this long and intertwined history of the United States, the bald eagle has not been officially designated as our national bird.... This bill would ... enshrine the bald eagle as the national bird along with our national anthem, national motto, and other symbols of our country. —Representative Russell Fry, Congressional Record, December 16, 2024, p. H7171. National Symbols of the United States National Anthem In 1931, Congress designated “The Star-Spangled Banner” as the national anthem (36 U.S.C. §301). Written in 1814 by Francis Scott Key near Fort McHenry, Maryland, during the War of 1812, “The Star-Spangled Banner” described the attack on the..."
